"ID","AAO_DATE","START_DATE","END_DATE","URL"
"71","2008-01-25","2010-03-08","2010-05-05","https://www.legislation.gov.au/Details/C2010Q00087"
"72","2008-01-25","2010-05-06","2010-06-28","https://www.legislation.gov.au/Details/C2010Q00099"
"73","2008-01-25","2010-06-29","2010-09-13","https://www.legislation.gov.au/Details/C2010Q00107"
"74","2010-09-14","2010-09-14","2010-10-13","https://www.legislation.gov.au/Details/C2010Q00191"
"75","2010-10-14","2010-10-14","2011-10-18","https://www.legislation.gov.au/Details/C2010Q00232"
"76","2010-10-14","2011-10-19","2011-12-06","https://www.legislation.gov.au/Details/C2011Q00072"
"77","2010-10-14","2011-12-07","2011-12-13","https://www.legislation.gov.au/Details/C2004Q00835"
"78","2011-12-14","2011-12-14","2012-02-08","https://www.legislation.gov.au/Details/C2011Q00073"
"79","2012-02-09","2012-02-09","2013-03-24","https://www.legislation.gov.au/Details/C2012Q00019"
"80","2012-02-09","2013-03-25","2013-05-15","https://www.legislation.gov.au/Details/C2013Q00003"
"81","2013-05-16","2013-05-16","2013-09-17","https://www.legislation.gov.au/Details/C2013Q00004"
"82","2013-09-18","2013-09-18","2013-10-02","https://www.legislation.gov.au/Details/C2013Q00006"
"83","2013-09-18","2013-10-03","2013-12-12","https://www.legislation.gov.au/Details/C2013Q00007"
"84","2013-12-12","2013-12-12","2014-12-22","https://www.legislation.gov.au/Details/C2014Q00003"
"85","2014-12-23","2014-12-23","2015-07-08","https://www.legislation.gov.au/Details/C2015Q00002"
"86","2015-07-09","2015-07-09","2015-09-20","https://www.legislation.gov.au/Details/C2015Q00005"
"87","2015-07-09","2015-09-21","2015-09-29","https://www.legislation.gov.au/Details/C2015Q00006"
"88","2015-09-30","2015-09-30","2016-02-17","https://www.legislation.gov.au/Details/C2016Q00008"
"89","2015-09-30","2016-02-18","2016-07-18","https://www.legislation.gov.au/Details/C2016Q00010"
"90","2015-09-30","2016-07-19","2016-08-31","https://www.legislation.gov.au/Details/C2016Q00063"
"91","2016-09-01","2016-09-01","2016-10-26","https://www.legislation.gov.au/Details/C2016Q00067"
"92","2016-09-01","2016-10-27","2017-04-12","https://www.legislation.gov.au/Details/C2016Q00069"
"93","2016-09-01","2017-04-13","2017-11-29","https://www.legislation.gov.au/Details/C2017Q00008"
"94","2016-09-01","2017-11-30","2017-12-19","https://www.legislation.gov.au/Details/C2018Q00001"
"95","2016-09-01","2017-12-20","2018-04-18","https://www.legislation.gov.au/Details/C2018Q00002"
"96","2018-04-19","2018-04-19","2018-05-09","https://www.legislation.gov.au/Details/C2018Q00015"
"97","2018-04-19","2018-05-10","2018-08-27","https://www.legislation.gov.au/Details/C2018Q00017"
"98","2018-04-19","2018-08-28",,"https://www.legislation.gov.au/Details/C2018Q00021"
