"id_amending","amend_weight","name"
"C1915A00035",1,"Commonwealth Conciliation and Arbitration Act 1915"
"C1915A00037",1,"Commonwealth Public Service Act 1915"
"C1915A00038",1,"Referendum (Constitution Alteration) Act 1915"
"C1915A00039",1,"War Precautions Act (No. 2) 1915"
"C1915A00042",1,"Quarantine Act 1915"
"C1915A00045",1,"Iron Bounty Act 1915"
"C1915A00047",1,"Income Tax Assessment Act (No. 2) 1915"
"C1915A00048",1,"Income Tax Act (No. 2) 1915"
"C1916A00003",1,"War Precautions Act 1916"
"C1916A00004",0.5,"Acts Interpretation Act 1916"
"C1916A00008",1,"Commonwealth Public Service Act 1916"
"C1916A00010",1,"Customs Act 1916"
"C1916A00012",1,"Lands Acquisition Act 1916"
"C1916A00014",1,"Post and Telegraph Act 1916"
"C1916A00016",1,"Rules Publication Act 1916"
"C1916A00021",0.5,"War Census Act 1916"
"C1916A00023",0.5,"War Loan Act (United Kingdom) (No. 1) 1916"
"C1916A00025",1,"War Pensions Act 1916"
"C1916A00029",1,"Estate Duty Assessment Act 1916"
"C1916A00031",1,"Income Tax Assessment Act 1916"
"C1916A00032",1,"Invalid and Old-age Pensions Act 1916"
"C1916A00033",1,"Land Tax Assessment Act 1916"
"C1916A00039",1,"Income Tax Assessment Act (No. 2) 1916"
"C1917A00014",1,"Unlawful Associations Act 1917"
"C1917A00018",1,"Commonwealth Public Service Act 1917"
"C1917A00020",1,"Freight Arrangements Act 1917"
"C1917A00021",1,"Sugar Purchase Act 1917"
"C1917A00022",1,"Invalid and Old-age Pensions Act 1917"
"C1917A00024",0.5,"War Loan (United Kingdom) Act 1917"
"C1917A00025",1,"Naturalization Act 1917"
"C1917A00028",1,"Wood Pulp and Rock Phosphate Bounties Act 1917"
"C1917A00032",1,"Audit Act 1917"
"C1917A00035",1,"Daylight Saving Repeal Act 1917"
"C1917A00036",1,"Defence Act 1917"
"C1918A00007",1,"Commonwealth Inscribed Stock Act 1918"
"C1918A00008",1,"Acts Interpretation Act 1918"
"C1918A00015",1,"Australian Soldiers’ Repatriation Act 1918"
"C1918A00016",1,"Defence Act 1918"
"C1918A00018",1,"Income Tax Assessment Act 1918"
"C1918A00024",1,"Post and Telegraph Rates Act 1918"
"C1918A00025",1,"Entertainments Tax Act 1918"
"C1918A00026",1,"Excise Act 1918"
"C1918A00029",1,"Service and Execution of Process Act 1918"
"C1918A00030",1,"Land Tax Act 1918"
"C1918A00031",1,"Beer Excise Act 1918"
"C1918A00032",1,"Amendments Incorporation Act 1918"
"C1918A00034",1,"Distillation Act 1918"
"C1918A00035",1,"Spirits Act 1918"
"C1918A00039",1,"Commonwealth Conciliation and Arbitration Act 1918"
"C1918A00040",1,"War-time Profits Tax Assessment Act 1918"
"C1918A00045",1,"Naval Defence Act 1918"
"C1918A00046",1,"Commonwealth Public Service Act 1918"
"C1918A00047",1,"Defence Act (No. 2) 1918"
"C1919A00004",1,"Wireless Telegraphy Act 1919"
"C1919A00006",1,"Lighthouses Act 1919"
"C1919A00007",1,"Trade Marks Act 1919"
"C1919A00010",1,"Land Tax Act 1919"
"C1919A00011",1,"Entertainments Tax Act 1919"
"C1919A00014",1,"Referendum (Constitution Alteration) Act 1919"
"C1919A00022",1,"Invalid and Old-age Pensions Act 1919"
"C1919A00023",1,"Deceased Soldiers Estates Act 1919"
"C1919A00028",1,"War Service Homes Act 1919"
"C1919A00029",1,"Commonwealth Electoral (War-time) Act 1919"
"C1919A00031",1,"Commonwealth Electoral Act 1919"
"C1919A00032",1,"Navigation Act 1919"
"C1920A00011",1,"Sugar Purchase Act 1920"
"C1920A00014",1,"Committee of Public Accounts Act 1920"
"C1920A00017",1,"War Gratuity Act (No. 2) 1920"
"C1920A00023",1,"Audit Act 1920"
"C1920A00027",1,"Post and Telegraph Rates Act 1920"
"C1920A00031",1,"Commonwealth Conciliation and Arbitration Act 1920"
"C1920A00032",1,"Papua Act 1920"
"C1920A00033",1,"Census and Statistics Act 1920"
"C1920A00035",1,"War Service Homes Act 1920"
"C1920A00036",1,"Kalgoorlie to Port Augusta Railway Lands Act 1920"
"C1920A00038",1,"Judiciary Act 1920"
"C1920A00039",1,"Treaty of Peace (Germany) Act 1920"
"C1920A00041",1,"Customs Act 1920"
"C1920A00043",1,"Commonwealth Bank Act 1920"
"C1920A00045",1,"Land Tax Act 1920"
"C1920A00047",1,"Quarantine Act 1920"
"C1920A00051",1,"Immigration Act 1920"
"C1920A00052",1,"Sugar Purchase Act (No. 2) 1920"
"C1920A00053",1,"Invalid and Old-age Pensions Act 1920"
"C1920A00055",1,"Industrial Peace Act (No. 2) 1920"
"C1920A00056",1,"River Murray Waters Act 1920"
"C1921A00001",1,"Navigation Act 1920"
"C1921A00006",1,"Shale Oil Bounty Act 1921"
"C1921A00014",1,"Commonwealth Electoral Act 1921"
"C1921A00019",1,"Commonwealth Public Works Committee Act 1921"
"C1921A00022",1,"War Precautions (Coal) Act 1921"
"C1921A00023",1,"Trading with the Enemy Act 1921"
"C1921A00024",1,"Patents Act 1921"
"C1921A00029",1,"Commonwealth Conciliation and Arbitration Act 1921"
"C1921A00030",1,"Iron and Steel Bounty Act 1921"
"C1921A00031",1,"Income Tax Assessment Act 1921"
"C1921A00032",1,"Income Tax Assessment Act 1921 (No. 2)"
"C1921A00034",1,"Australian Soldiers' Repatriation Act 1921"
"C1921A00035",1,"High Court Procedure Act 1921"
"C1921A00036",1,"War Precautions Act Repeal Act 1921"
"C1922A00005",1,"Statutory Declarations Act 1922"
"C1922A00006",1,"Defence (Civil Employment) Act 1922"
"C1922A00014",1,"Commonwealth Electoral Act 1922"
"C1922A00015",1,"Entertainments Tax Act 1922"
"C1922A00016",1,"Customs Tariff 1922"
"C1922A00017",1,"Land Tax Act 1922"
"C1922A00019",1,"Customs Act 1922"
"C1922A00020",1,"Customs Tariff (Industries Preservation) Act 1922"
"C1922A00022",1,"Senate Elections Act 1922"
"C1922A00023",1,"Australian Soldiers' Repatriation Act 1922"
"C1922A00024",1,"Nationality Act 1922"
"C1922A00025",1,"Trade Marks Act 1922"
"C1922A00026",1,"Jury Exemption Act 1922"
"C1922A00027",1,"Service and Execution of Process Act 1922"
"C1922A00032",0.5,"Customs Tariff (Sugar) 1922"
"C1922A00034",1,"Estate Duty Assessment Act 1922"
"C1922A00039",1,"War Precautions Act Repeal Act 1922"
"C1922A00040",1,"Shale Oil Bounty Act 1922"
"C1923A00006",1,"Spirits Act 1923"
"C1923A00007",1,"Beer Excise Act 1923"
"C1923A00008",1,"Excise Act 1923"
"C1923A00009",0.5,"Distillation Act 1923"
"C1923A00012",1,"Customs Act 1923"
"C1923A00013",1,"Tasmania Grant Act 1923"
"C1923A00015",1,"Invalid and Old-age Pensions Act 1923"
"C1923A00016",1,"Post and Telegraph Rates Act 1923"
"C1923A00017",1,"Post and Telegraph Act 1923"
"C1923A00018",1,"War Service Homes Act 1923"
"C1923A00022",1,"Customs Tariff 1923"
"C1923A00023",1,"Shale Oil Bounty Act 1923"
"C1923A00025",1,"Tariff Board Act 1923"
"C1923A00027",1,"Income Tax Assessment Act 1923"
"C1923A00029",1,"Land Tax Assessment Act 1923"
"C1923A00034",1,"War Precautions Act Repeal Act 1923"
"C1924A00001",1,"Customs Tariff 1924"
"C1924A00005",1,"Main Roads Development Act 1924-25"
"C1924A00006",1,"National Debt Sinking Fund Act 1924"
"C1924A00010",1,"Commonwealth Electoral Act 1924"
"C1924A00012",1,"Post and Telegraph Rates Act 1924"
"C1924A00015",1,"Commonwealth Bank Act 1924"
"C1924A00025",1,"Papua Act 1924"
"C1924A00026",1,"Service and Execution of Process Act 1924"
"C1924A00028",1,"Excise Tariff 1924"
"C1924A00029",1,"Tariff Board Act 1924"
"C1924A00030",1,"Quarantine Act 1924"
"C1924A00032",1,"Land Tax Assessment Act 1924"
"C1924A00034",1,"Audit Act 1924"
"C1924A00036",1,"Income Tax Collection Act 1924"
"C1924A00045",1,"Superannuation Act 1924"
"C1924A00046",1,"Commonwealth Public Service Act 1924"
"C1924A00047",1,"Immigration Act 1924"
"C1924A00051",1,"Income Tax Assessment Act 1924"
"C1924A00052",1,"Entertainments Tax Assessment Act 1924"
"C1925A00003",1,"National Debt Sinking Fund Act 1925"
"C1925A00004",1,"Export Guarantee Act 1925"
"C1925A00005",1,"High Court Procedure Act 1925"
"C1925A00007",1,"Immigration Act 1925"
"C1925A00008",1,"Navigation Act 1925"
"C1925A00010",1,"Nationality Act 1925"
"C1925A00011",1,"Commonwealth Railways Act 1925"
"C1925A00012",1,"Peace Officers Act 1925"
"C1925A00013",1,"Distillation Act 1925"
"C1925A00016",1,"Commonwealth Bank (Rural Credits) Act 1925"
"C1925A00017",0.5,"Main Roads Development Act 1925"
"C1925A00020",1,"Commonwealth Electoral Act 1925"
"C1925A00021",1,"Northern Territory Representation Act 1925"
"C1925A00022",1,"Customs Act 1925"
"C1925A00023",1,"Entertainments Tax Act 1925"
"C1925A00026",1,"War Service Homes Act 1925"
"C1925A00027",1,"Invalid and Old-age Pensions Act 1925"
"C1925A00028",1,"Income Tax Assessment Act 1925"
"C1926A00008",1,"Navigation Act 1926"
"C1926A00009",1,"Crimes Act 1926"
"C1926A00013",1,"Dried Fruits Advances Act 1926"
"C1926A00015",1,"New Guinea Act 1926"
"C1926A00017",1,"Aliens Registration Act Suspension Act 1926"
"C1926A00018",1,"Audit Act 1926"
"C1926A00020",1,"Science and Industry Research Act 1926"
"C1926A00022",1,"Commonwealth Conciliation and Arbitration Act 1926"
"C1926A00023",1,"Referendum (Constitution Alteration) Act 1926"
"C1926A00026",0.333333333333333,"Customs Tariff 1926"
"C1926A00027",1,"War-time Profits Tax Assessment Act 1926"
"C1926A00028",1,"Excise Tariff 1926"
"C1926A00031",1,"Petroleum Prospecting Act (No. 2) 1926"
"C1926A00032",1,"Seat of Government (Administration) Act 1926"
"C1926A00034",1,"Grafton to South Brisbane Railway Act 1926"
"C1926A00035",1,"States Loan Act 1926"
"C1926A00036",1,"Shale Oil Bounty Act 1926"
"C1926A00037",1,"Commerce (Trade Descriptions) Act 1926"
"C1926A00039",1,"Judiciary Act 1926"
